start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual,start_datetime,end_datetime,WindShore_Forecast,WindShore_actual
2025-05-22 00:00:00,2025-05-22 01:00:00,1316805,1130390,2025-05-24 00:00:00,2025-05-24 01:00:00,781140,483595,2025-05-23 00:00:00,2025-05-23 01:00:00,2116938,1813490,2025-05-25 00:00:00,2025-05-25 01:00:00,3329640,3320776,2025-05-26 00:00:00,2025-05-26 01:00:00,706695,798357,2025-06-15 00:00:00,2025-06-15 01:00:00,1581317,1153199,2025-05-29 00:00:00,2025-05-29 01:00:00,142402.0,123790.0,2025-06-01 00:00:00,2025-06-01 01:00:00,137516,157370,2025-06-02 00:00:00,2025-06-02 01:00:00,1616858,1422115,2025-06-03 00:00:00,2025-06-03 01:00:00,107018,45611,2025-06-04 00:00:00,2025-06-04 01:00:00,2745618,2430214,2025-06-07 00:00:00,2025-06-07 01:00:00,939144.0,944894.0,2025-06-10 00:00:00,2025-06-10 01:00:00,1059512,946733,2025-05-21 00:00:00,2025-05-21 01:00:00,624287,348760,2025-05-27 00:00:00,2025-05-27 01:00:00,3949882,3849398
2025-05-22 01:00:00,2025-05-22 02:00:00,1200499,1146137,2025-05-24 01:00:00,2025-05-24 02:00:00,983508,563465,2025-05-23 01:00:00,2025-05-23 02:00:00,2162242,1584818,2025-05-25 01:00:00,2025-05-25 02:00:00,3633865,3578248,2025-05-26 01:00:00,2025-05-26 02:00:00,765871,833081,2025-06-15 01:00:00,2025-06-15 02:00:00,1192318,890651,2025-05-29 01:00:00,2025-05-29 02:00:00,127346.0,75097.0,2025-06-01 01:00:00,2025-06-01 02:00:00,447620,291214,2025-06-02 01:00:00,2025-06-02 02:00:00,1666506,1329975,2025-06-03 01:00:00,2025-06-03 02:00:00,250198,159655,2025-06-04 01:00:00,2025-06-04 02:00:00,2644905,2239564,2025-06-07 01:00:00,2025-06-07 02:00:00,1091370.0,956960.0,2025-06-10 01:00:00,2025-06-10 02:00:00,1398103,1206863,2025-05-21 01:00:00,2025-05-21 02:00:00,610207,307336,2025-05-27 01:00:00,2025-05-27 02:00:00,4336932,4038781
2025-05-22 02:00:00,2025-05-22 03:00:00,1421804,1238411,2025-05-24 02:00:00,2025-05-24 03:00:00,1117746,620692,2025-05-23 02:00:00,2025-05-23 03:00:00,2229886,1759382,2025-05-25 02:00:00,2025-05-25 03:00:00,3891435,3792759,2025-05-26 02:00:00,2025-05-26 03:00:00,1049558,866838,2025-06-15 02:00:00,2025-06-15 03:00:00,1030681,889110,2025-05-29 02:00:00,2025-05-29 03:00:00,106016.0,65068.0,2025-06-01 02:00:00,2025-06-01 03:00:00,914173,762333,2025-06-02 02:00:00,2025-06-02 03:00:00,1566066,1294845,2025-06-03 02:00:00,2025-06-03 03:00:00,348499,285133,2025-06-04 02:00:00,2025-06-04 03:00:00,2602091,2140267,2025-06-07 02:00:00,2025-06-07 03:00:00,1256067.0,1041162.0,2025-06-10 02:00:00,2025-06-10 03:00:00,1519498,1484823,2025-05-21 02:00:00,2025-05-21 03:00:00,576142,286753,2025-05-27 02:00:00,2025-05-27 03:00:00,4550113,4577918
2025-05-22 03:00:00,2025-05-22 04:00:00,1843606,1487647,2025-05-24 03:00:00,2025-05-24 04:00:00,1359812,871340,2025-05-23 03:00:00,2025-05-23 04:00:00,2379834,1871476,2025-05-25 03:00:00,2025-05-25 04:00:00,4005583,3935895,2025-05-26 03:00:00,2025-05-26 04:00:00,1233351,1193115,2025-06-15 03:00:00,2025-06-15 04:00:00,973472,771858,2025-05-29 03:00:00,2025-05-29 04:00:00,61738.0,37980.0,2025-06-01 03:00:00,2025-06-01 04:00:00,1191758,1045963,2025-06-02 03:00:00,2025-06-02 04:00:00,1425893,1201823,2025-06-03 03:00:00,2025-06-03 04:00:00,558449,475033,2025-06-04 03:00:00,2025-06-04 04:00:00,2439490,2099777,2025-06-07 03:00:00,2025-06-07 04:00:00,1284769.0,1064773.0,2025-06-10 03:00:00,2025-06-10 04:00:00,1766774,1954201,2025-05-21 03:00:00,2025-05-21 04:00:00,633738,323862,2025-05-27 03:00:00,2025-05-27 04:00:00,4921569,4978053
2025-05-22 04:00:00,2025-05-22 05:00:00,2235308,1826645,2025-05-24 04:00:00,2025-05-24 05:00:00,1637867,1140265,2025-05-23 04:00:00,2025-05-23 05:00:00,2493486,1855308,2025-05-25 04:00:00,2025-05-25 05:00:00,4113233,3887838,2025-05-26 04:00:00,2025-05-26 05:00:00,1305005,1355495,2025-06-15 04:00:00,2025-06-15 05:00:00,952684,775886,2025-05-29 04:00:00,2025-05-29 05:00:00,46488.0,15563.0,2025-06-01 04:00:00,2025-06-01 05:00:00,1532659,1133135,2025-06-02 04:00:00,2025-06-02 05:00:00,1291146,1104052,2025-06-03 04:00:00,2025-06-03 05:00:00,890272,782881,2025-06-04 04:00:00,2025-06-04 05:00:00,2278203,1909734,2025-06-07 04:00:00,2025-06-07 05:00:00,1421182.0,972833.0,2025-06-10 04:00:00,2025-06-10 05:00:00,2097955,2317872,2025-05-21 04:00:00,2025-05-21 05:00:00,771879,481095,2025-05-27 04:00:00,2025-05-27 05:00:00,5296038,5402782
2025-05-22 05:00:00,2025-05-22 06:00:00,2500117,2206644,2025-05-24 05:00:00,2025-05-24 06:00:00,1995805,1366479,2025-05-23 05:00:00,2025-05-23 06:00:00,2568135,2199715,2025-05-25 05:00:00,2025-05-25 06:00:00,4270906,4023529,2025-05-26 05:00:00,2025-05-26 06:00:00,1298768,1331140,2025-06-15 05:00:00,2025-06-15 06:00:00,1003961,859915,2025-05-29 05:00:00,2025-05-29 06:00:00,51303.0,21729.0,2025-06-01 05:00:00,2025-06-01 06:00:00,1594643,1230480,2025-06-02 05:00:00,2025-06-02 06:00:00,1224933,901872,2025-06-03 05:00:00,2025-06-03 06:00:00,1150745,1128117,2025-06-04 05:00:00,2025-06-04 06:00:00,2297713,1995201,2025-06-07 05:00:00,2025-06-07 06:00:00,1523823.0,1042203.0,2025-06-10 05:00:00,2025-06-10 06:00:00,2575362,2739749,2025-05-21 05:00:00,2025-05-21 06:00:00,882374,651954,2025-05-27 05:00:00,2025-05-27 06:00:00,5492089,5726192
2025-05-22 06:00:00,2025-05-22 07:00:00,2564159,2126951,2025-05-24 06:00:00,2025-05-24 07:00:00,2372412,1637243,2025-05-23 06:00:00,2025-05-23 07:00:00,2732650,2239598,2025-05-25 06:00:00,2025-05-25 07:00:00,4513162,4069821,2025-05-26 06:00:00,2025-05-26 07:00:00,1414405,1114752,2025-06-15 06:00:00,2025-06-15 07:00:00,996730,757478,2025-05-29 06:00:00,2025-05-29 07:00:00,96396.0,63361.0,2025-06-01 06:00:00,2025-06-01 07:00:00,1664724,1601500,2025-06-02 06:00:00,2025-06-02 07:00:00,1157461,769107,2025-06-03 06:00:00,2025-06-03 07:00:00,1446307,1416990,2025-06-04 06:00:00,2025-06-04 07:00:00,2192940,1868573,2025-06-07 06:00:00,2025-06-07 07:00:00,1618414.0,1065794.0,2025-06-10 06:00:00,2025-06-10 07:00:00,3051206,3242884,2025-05-21 06:00:00,2025-05-21 07:00:00,1005920,839921,2025-05-27 06:00:00,2025-05-27 07:00:00,5711471,5842733
2025-05-22 07:00:00,2025-05-22 08:00:00,2836042,2305170,2025-05-24 07:00:00,2025-05-24 08:00:00,2724980,2368803,2025-05-23 07:00:00,2025-05-23 08:00:00,2947721,2499805,2025-05-25 07:00:00,2025-05-25 08:00:00,4895276,4649672,2025-05-26 07:00:00,2025-05-26 08:00:00,1648610,1361211,2025-06-15 07:00:00,2025-06-15 08:00:00,983170,936577,2025-05-29 07:00:00,2025-05-29 08:00:00,182716.0,182337.0,2025-06-01 07:00:00,2025-06-01 08:00:00,1795054,1776629,2025-06-02 07:00:00,2025-06-02 08:00:00,1077314,990664,2025-06-03 07:00:00,2025-06-03 08:00:00,1758997,1719068,2025-06-04 07:00:00,2025-06-04 08:00:00,2244937,1709856,2025-06-07 07:00:00,2025-06-07 08:00:00,1710976.0,1153396.0,2025-06-10 07:00:00,2025-06-10 08:00:00,3615254,3655149,2025-05-21 07:00:00,2025-05-21 08:00:00,1300262,1000767,2025-05-27 07:00:00,2025-05-27 08:00:00,5917900,5979904
2025-05-22 08:00:00,2025-05-22 09:00:00,3570373,3291120,2025-05-24 08:00:00,2025-05-24 09:00:00,2818558,3309883,2025-05-23 08:00:00,2025-05-23 09:00:00,3322347,3131282,2025-05-25 08:00:00,2025-05-25 09:00:00,5198920,4852709,2025-05-26 08:00:00,2025-05-26 09:00:00,1999367,2289858,2025-06-15 08:00:00,2025-06-15 09:00:00,1006519,1591675,2025-05-29 08:00:00,2025-05-29 09:00:00,343880.0,386092.0,2025-06-01 08:00:00,2025-06-01 09:00:00,2234356,2213614,2025-06-02 08:00:00,2025-06-02 09:00:00,1170520,1315215,2025-06-03 08:00:00,2025-06-03 09:00:00,1742500,1857736,2025-06-04 08:00:00,2025-06-04 09:00:00,2641085,2079111,2025-06-07 08:00:00,2025-06-07 09:00:00,1737957.0,1549294.0,2025-06-10 08:00:00,2025-06-10 09:00:00,4239998,4233801,2025-05-21 08:00:00,2025-05-21 09:00:00,1746852,1456241,2025-05-27 08:00:00,2025-05-27 09:00:00,5969846,6098530
2025-05-22 09:00:00,2025-05-22 10:00:00,4093169,4372519,2025-05-24 09:00:00,2025-05-24 10:00:00,2941350,3935186,2025-05-23 09:00:00,2025-05-23 10:00:00,3803140,3607179,2025-05-25 09:00:00,2025-05-25 10:00:00,5618993,5052723,2025-05-26 09:00:00,2025-05-26 10:00:00,2755993,3493948,2025-06-15 09:00:00,2025-06-15 10:00:00,1212846,2126037,2025-05-29 09:00:00,2025-05-29 10:00:00,616130.0,663662.0,2025-06-01 09:00:00,2025-06-01 10:00:00,2302273,2461687,2025-06-02 09:00:00,2025-06-02 10:00:00,1426258,1624991,2025-06-03 09:00:00,2025-06-03 10:00:00,2042109,2748107,2025-06-04 09:00:00,2025-06-04 10:00:00,2912370,2466487,2025-06-07 09:00:00,2025-06-07 10:00:00,1940741.0,1863058.0,2025-06-10 09:00:00,2025-06-10 10:00:00,4617357,4830210,2025-05-21 09:00:00,2025-05-21 10:00:00,2049818,2256532,2025-05-27 09:00:00,2025-05-27 10:00:00,5983631,6082594
2025-05-22 10:00:00,2025-05-22 11:00:00,4500161,4581137,2025-05-24 10:00:00,2025-05-24 11:00:00,3118524,4343794,2025-05-23 10:00:00,2025-05-23 11:00:00,3862146,4172547,2025-05-25 10:00:00,2025-05-25 11:00:00,5930575,5086445,2025-05-26 10:00:00,2025-05-26 11:00:00,3248996,3915036,2025-06-15 10:00:00,2025-06-15 11:00:00,1388592,2161393,2025-05-29 10:00:00,2025-05-29 11:00:00,1066540.0,1344982.0,2025-06-01 10:00:00,2025-06-01 11:00:00,2269971,2956996,2025-06-02 10:00:00,2025-06-02 11:00:00,1690057,1854151,2025-06-03 10:00:00,2025-06-03 11:00:00,2779045,4167883,2025-06-04 10:00:00,2025-06-04 11:00:00,3206960,3034319,2025-06-07 10:00:00,2025-06-07 11:00:00,2178327.0,2069991.0,2025-06-10 10:00:00,2025-06-10 11:00:00,5103213,5021701,2025-05-21 10:00:00,2025-05-21 11:00:00,2213573,2772796,2025-05-27 10:00:00,2025-05-27 11:00:00,6045526,5989431
